id,objective,topic,difficulty,sourceStatus,question,correctAnswer,explanation
NCA610-STO-001,4.1,Replication Factor,Easy,VALIDATED_SOURCE_DERIVED,"In Prism Element, policies such as replication factor and storage efficiency settings are applied to which object?",Storage container,"Replication factor and efficiency settings such as compression, deduplication, and erasure coding are container-level settings."
NCA610-STO-002,4.1,Redundancy Factor,Easy,VALIDATED_SOURCE_DERIVED,What is the minimum cluster size required for Redundancy Factor 3?,5 nodes,"RF3 requires at least five nodes/blocks/racks depending on the failure domain, because it is designed to tolerate two failures."
NCA610-STO-003,4.1,Replication Factor,Easy,VALIDATED_SOURCE_DERIVED,On which entity is Replication Factor configured?,Storage container,Replication Factor controls data and metadata copies at the storage container level.
NCA610-STO-004,4.6,Nutanix Volumes,Medium,CORRECTED_SOURCE_DERIVED,Which Nutanix product or feature is most appropriate when a Microsoft SQL cluster requires shared block storage?,Nutanix Volumes,"SQL clustering scenarios that require shared block/iSCSI-style access align with Nutanix Volumes, not S3 object storage."
NCA610-IMG-001,2.1,Image Management,Easy,VALIDATED_SOURCE_DERIVED,Which Prism Central feature can map images to target clusters by using categories?,Image Placement Policies,Image Placement Policies use categories associated with images and clusters to control image placement.
NCA610-MON-001,3.1,Analysis Charts,Medium,CORRECTED_SOURCE_DERIVED,An administrator wants one chart that shows the same logical usage metric for three storage containers. Which chart type best fits this requirement?,Metric Chart,A metric chart focuses on one metric across one or more entities. An entity chart focuses on one entity with multiple metrics.
NCA610-STO-005,4.1,RF1 Requirements,Medium,CORRECTED_SOURCE_DERIVED,What must be carefully considered before using Replication Factor 1 (RF1)?,The application must provide its own resiliency or tolerate data loss,"RF1 keeps only one copy, so the workload must provide its own protection or be disposable/temporary."
NCA610-VM-001,2.1,Agent VM Placement,Medium,CORRECTED_SOURCE_DERIVED,An administrator must deploy one virtual firewall VM on every AHV host and keep each firewall VM tied to its host. Which feature is designed for this use case?,Agent VM configuration,"Agent VMs are used for per-host appliances that should maintain host affinity, such as certain security or network appliances."
NCA610-HEA-001,3.1,Health Dashboard,Easy,CORRECTED_SOURCE_DERIVED,"After logging in to Prism Element, an administrator sees a red health indicator. Which dashboard should be used first to isolate the cause?",Health,The Health dashboard is the dedicated view for health checks and affected entities in Prism Element.
NCA610-PRI-001,2.2,Prism Element Access,Easy,VALIDATED_SOURCE_DERIVED,Which IP address can be used to directly access Prism Element for a cluster?,Any Controller VM IP address in the cluster,Prism Element runs on the cluster CVMs and can be accessed using the cluster virtual IP or a CVM IP.
NCA610-NET-001,4.5,Network Segmentation,Easy,VALIDATED_SOURCE_DERIVED,Which configuration best separates management traffic from storage replication traffic?,Network segmentation,"Network segmentation separates traffic types logically, commonly by VLANs or dedicated networks."
NCA610-STO-006,4.6,Data Services IP,Easy,VALIDATED_SOURCE_DERIVED,Which address allows external hosts to connect to storage presented by Nutanix Volumes?,Data Services IP,The iSCSI/Data Services IP is used for external data services such as Nutanix Volumes access.
NCA610-DP-001,4.6,Recovery Points,Easy,VALIDATED_SOURCE_DERIVED,Which Prism Central object should an administrator use for a manual in-place restore of a VM?,Recovery Point,Prism Central presents VM restore points as Recovery Points that can be used for restore/revert operations.
NCA610-STO-007,4.1,RF2 Meaning,Easy,VALIDATED_SOURCE_DERIVED,What does Replication Factor 2 (RF2) represent?,The number of copies of data written in the cluster,RF2 means two copies of data are maintained: the original plus one replica.
NCA610-SUP-001,3.3,Support Portal Discoveries,Medium,VALIDATED_SOURCE_DERIVED,What is the purpose of Discoveries in the Nutanix Support Portal?,To identify clusters affected by known issues or risks,"Discoveries identify known issues, risks, or recommendations based on support telemetry and analysis."
NCA610-LCM-001,1.1,Dark Site LCM,Easy,VALIDATED_SOURCE_DERIVED,Which LCM feature helps upload update bundles when a cluster does not have Internet access?,Direct Upload,Direct Upload allows LCM bundles to be uploaded manually for dark-site or restricted environments.
NCA610-DP-002,4.6,Two-node ROBO,Medium,VALIDATED_SOURCE_DERIVED,What is required to maintain availability in a two-node Nutanix ROBO cluster if a node fails?,Witness VM,A Witness VM helps two-node clusters make availability decisions and avoid split-brain scenarios.
NCA610-IMG-002,2.1,Image Upload,Easy,VALIDATED_SOURCE_DERIVED,Which protocol is commonly supported when adding an image from a remote URL in Image Configuration?,HTTP/HTTPS,Image Service can import images from local files or supported remote URL sources such as HTTP/HTTPS.
NCA610-PUL-001,3.2,Pulse,Medium,VALIDATED_SOURCE_DERIVED,When should Pulse normally be disabled?,Only under appropriate guidance or policy requirements,Pulse is useful for proactive support and should generally remain enabled unless support guidance or organizational policy requires otherwise.
NCA610-PUL-002,3.2,Pulse Security,Easy,VALIDATED_SOURCE_DERIVED,Which Pulse feature helps protect customer-private information before diagnostic data is sent?,Data Obfuscation,Pulse uses data obfuscation to protect sensitive customer information in telemetry.
NCA610-OBJ-001,4.6,Objects,Easy,VALIDATED_SOURCE_DERIVED,Which Nutanix storage service provides S3-compatible object storage for large amounts of unstructured data?,Objects,Nutanix Objects provides S3-compatible object storage for unstructured data.
NCA610-NET-002,4.5,Active-Backup Bond,Easy,VALIDATED_SOURCE_DERIVED,A 10 GbE link fails on a node using active-backup bonding with a standby uplink available. What is the expected VM impact?,Traffic fails over to the standby link with little or no user-visible impact,Active-backup bonding is designed to fail over traffic to a standby physical NIC if the active link fails.
NCA610-VM-002,2.1,CPU Ready,Easy,CORRECTED_SOURCE_DERIVED,High CPU Ready time primarily indicates contention affecting which entity type?,VM,CPU Ready time is a VM/CPU scheduling indicator; high values commonly point to CPU contention for VMs.
NCA610-HEA-002,3.1,Data Resiliency,Easy,VALIDATED_SOURCE_DERIVED,How can an administrator determine whether the cluster can sustain a hardware failure?,Review the Data Resiliency Status,Data Resiliency Status indicates whether the cluster can tolerate additional failures.
NCA610-STO-008,4.2,ESXi Storage Protocol,Easy,VALIDATED_SOURCE_DERIVED,Which protocol is used to present a Nutanix storage container to an ESXi host?,NFS,Nutanix presents containers to ESXi using NFS datastores.
NCA610-STO-009,4.1,Metadata Copies,Medium,VALIDATED_SOURCE_DERIVED,How many metadata copies are typically written for Replication Factor 2 (RF2)?,3,"Metadata commonly maintains an additional copy compared to user data, so RF2 data is two copies while metadata can have three copies."
NCA610-PUL-003,3.2,Pulse Protocol,Easy,VALIDATED_SOURCE_DERIVED,Which protocol does Pulse use to transmit cluster information to Nutanix?,HTTPS,Pulse transmits telemetry securely over HTTPS.
NCA610-LCM-002,1.1,LCM Inventory,Easy,NEW_PRACTICE_QUESTION,Which LCM operation identifies currently installed component versions and available updates?,Perform Inventory,"Perform Inventory detects installed versions, updates metadata, and shows available updates."
NCA610-LCM-003,1.1,LCM Preconditions,Medium,NEW_PRACTICE_QUESTION,"Before starting an LCM upgrade, what should an administrator verify first?",That unresolved critical alerts do not exist,"LCM upgrades should be planned after checking cluster health, unresolved alerts, and prechecks."
NCA610-LCM-004,1.1,Prism Central vs Prism Element LCM,Medium,NEW_PRACTICE_QUESTION,Which statement best describes LCM in Prism Central versus Prism Element?,"Prism Element is used for local cluster components such as AOS/AHV/NCC, while Prism Central manages PC-local services",LCM scope differs by console. Prism Element manages the cluster; Prism Central manages PC-local services and central lifecycle views.
NCA610-LCM-005,1.1,Upgrade Order,Medium,NEW_PRACTICE_QUESTION,Which sequence best reflects a safe upgrade mindset?,Run inventory and NCC/prechecks before applying major upgrades,"Inventory, health validation, NCC, and prechecks reduce upgrade risk."
NCA610-LCM-006,1.2,Maintenance Mode,Medium,NEW_PRACTICE_QUESTION,What happens when an AHV host enters maintenance mode?,Migratable VMs are moved and the host becomes unavailable for new VM placement,Maintenance mode evacuates/migrates eligible VMs and prevents normal scheduling on the host during maintenance.
NCA610-LCM-007,1.2,LCM Task Status,Easy,NEW_PRACTICE_QUESTION,Where should an administrator confirm the progress of an LCM upgrade task?,Task Status Dashboard,LCM upgrade progress can be tracked from tasks/task status.
NCA610-LCM-008,1.2,Upgrade Components,Easy,NEW_PRACTICE_QUESTION,Which item is an example of an upgradable software or firmware component managed through LCM?,AOS,"LCM handles Nutanix platform software and supported firmware updates such as AOS, AHV, NCC, BIOS/BMC, and related components."
NCA610-VM-003,2.1,VM Snapshot,Easy,NEW_PRACTICE_QUESTION,"In Prism Element, what is a VM snapshot used for?",Capturing a point-in-time state of a VM,"A snapshot captures a VM point in time for restore, clone, or protection workflows."
NCA610-VM-004,2.1,VM Migration,Easy,NEW_PRACTICE_QUESTION,What is the purpose of migrating a VM to a different host within the same cluster?,Move VM execution to another host for maintenance or balancing,"VM migration moves a VM to another host, often for maintenance, resource balancing, or placement requirements."
NCA610-VM-005,2.1,VM Resource Monitoring,Easy,NEW_PRACTICE_QUESTION,"Which Prism view helps review VM CPU, memory, and storage performance over time?",Metrics,Metrics tabs and Analysis views are used to review resource usage trends.
NCA610-VM-006,2.1,Affinity,Medium,NEW_PRACTICE_QUESTION,What is a basic use case for VM-host affinity?,Restricting a VM to run on specific hosts,VM-host affinity controls where selected VMs are allowed or preferred to run.
NCA610-VM-007,2.1,VM Templates,Easy,NEW_PRACTICE_QUESTION,Why would an administrator create a VM template?,To reuse a standardized VM configuration,Templates help standardize and repeat VM deployments.
NCA610-VM-008,2.1,VirtIO,Medium,NEW_PRACTICE_QUESTION,Why are VirtIO drivers important for Windows VMs on AHV?,They improve support and performance for paravirtualized devices,Windows often requires VirtIO drivers for AHV disk and network devices and better performance.
NCA610-ADM-001,2.2,Security Settings,Easy,NEW_PRACTICE_QUESTION,Which feature controls what actions users can perform in Prism?,RBAC,Role-Based Access Control assigns permissions through roles and policies.
NCA610-ADM-002,2.2,Time Sync,Easy,NEW_PRACTICE_QUESTION,Why is NTP important in a Nutanix cluster?,"It keeps logs, tasks, snapshots, and services time-aligned","Accurate time is critical for logs, troubleshooting, scheduled operations, DR, and authentication."
NCA610-ADM-003,2.2,Alerts and Notifications,Easy,NEW_PRACTICE_QUESTION,Which configuration is required before Prism can send alert emails?,SMTP settings,Prism needs SMTP configuration and notification settings to send alert emails.
NCA610-ADM-004,2.2,Data-at-Rest Encryption,Medium,NEW_PRACTICE_QUESTION,What is the purpose of Data-at-Rest Encryption?,Protect stored data on disks/media,Data-at-Rest Encryption protects data stored on physical media using software or hardware-supported encryption mechanisms.
NCA610-ADM-005,2.2,Cluster Access,Easy,NEW_PRACTICE_QUESTION,Which item is commonly used to control user access to Prism?,"Users, roles, and authorization policies","User access is governed through identity, roles, RBAC, and policies."
NCA610-LIC-001,2.3,License Level,Easy,NEW_PRACTICE_QUESTION,Where can an administrator review Nutanix license information from the cluster UI?,Prism licensing pages,License details are visible in Prism licensing views and the Support Portal depending on access.
NCA610-LIC-002,2.3,License Process,Medium,NEW_PRACTICE_QUESTION,Which licensing method is recommended when Prism Central has Internet access and supports direct license management?,Seamless Licensing,Seamless Licensing reduces manual file handling when Internet-connected licensing is available.
NCA610-LIC-003,2.3,Dark Site Licensing,Medium,NEW_PRACTICE_QUESTION,Which scenario requires a dark site licensing process?,A cluster without direct Internet access,Dark-site processes are used when the cluster cannot directly reach Internet-based licensing services.
NCA610-HEA-003,3.1,NCC,Easy,NEW_PRACTICE_QUESTION,What does NCC stand for in Nutanix operations?,Nutanix Cluster Check,"NCC is Nutanix Cluster Check, a set of health checks for cluster components."
NCA610-HEA-004,3.1,Manual NCC,Medium,NEW_PRACTICE_QUESTION,When is it especially useful to run NCC manually?,Before upgrades or major maintenance,"NCC is commonly run before upgrades, after changes, or while investigating issues."
NCA610-HEA-005,3.1,Log Collection,Easy,NEW_PRACTICE_QUESTION,Which Prism Element action gathers diagnostic bundles for support?,Collect Logs,Collect Logs gathers cluster logs and diagnostic data for troubleshooting or support cases.
NCA610-HEA-006,3.1,Metric vs Entity Charts,Medium,NEW_PRACTICE_QUESTION,Which chart type shows multiple metrics for a single entity?,Entity Chart,An entity chart focuses on one entity and can show one or more metrics for that entity.
NCA610-HEA-007,3.1,Alert Severity,Easy,NEW_PRACTICE_QUESTION,What does a critical alert generally indicate?,A serious condition requiring attention,Critical alerts indicate serious conditions that may require immediate investigation.
NCA610-ALT-001,3.2,Pulse,Easy,NEW_PRACTICE_QUESTION,What is the main purpose of Nutanix Pulse?,Send diagnostic system data to Nutanix for proactive support and insights,Pulse sends diagnostic telemetry that enables proactive support and insights.
NCA610-ALT-002,3.2,Custom Alert Policies,Medium,NEW_PRACTICE_QUESTION,When would a custom alert policy be useful?,When an organization needs specific alert thresholds or conditions,Custom alert policies help tailor alerting behavior to operational requirements.
NCA610-ALT-003,3.2,Events,Easy,NEW_PRACTICE_QUESTION,How are events different from alerts?,Events are informational records; alerts may require acknowledgment or resolution,Events record actions or changes. Alerts indicate conditions that may need action.
NCA610-SUP-002,3.3,Support Case,Easy,NEW_PRACTICE_QUESTION,What information is most useful when opening a Nutanix support case?,"Issue description, affected cluster/entity, time, alerts, events, and logs","Support cases are stronger when they include context, timestamps, symptoms, logs, and related alerts/events."
NCA610-SUP-003,3.3,Documentation Types,Medium,NEW_PRACTICE_QUESTION,"Which Nutanix resource helps validate hardware, AOS, guest OS, and partner compatibility?",Compatibility and Interoperability Matrix,The Compatibility and Interoperability Matrix is used to check supported combinations and interoperability.
NCA610-STO-010,4.1,Failure Domains,Medium,NEW_PRACTICE_QUESTION,What is a failure domain?,A boundary used to understand which components can fail together,"Failure domains describe groups such as nodes, blocks, or racks that may share failure risk."
NCA610-STO-011,4.1,RF3,Medium,NEW_PRACTICE_QUESTION,What does RF3 provide compared with RF2?,An additional data replica and higher failure tolerance,RF3 maintains more copies than RF2 and can tolerate more failures when requirements are met.
NCA610-STO-012,4.1,RF vs Redundancy,Medium,NEW_PRACTICE_QUESTION,Which statement best differentiates Replication Factor and Redundancy Factor?,Replication Factor is about data copies; Redundancy Factor is about cluster failure tolerance,Replication Factor controls copies of data/metadata. Redundancy Factor describes the cluster failure tolerance state.
NCA610-STO-013,4.2,Storage Pool,Easy,NEW_PRACTICE_QUESTION,What does a storage pool represent in Nutanix?,A logical aggregation of physical storage resources,A storage pool aggregates physical storage resources used by containers and workloads.
NCA610-STO-014,4.2,Storage Container,Easy,NEW_PRACTICE_QUESTION,What is a storage container commonly used for?,Storing VM vDisks and applying storage policies,Storage containers hold vDisks and apply policies such as RF and efficiency features.
NCA610-STO-015,4.2,Volume Group,Medium,NEW_PRACTICE_QUESTION,What is a Volume Group used for?,Grouping related vDisks and presenting block storage use cases,Volume Groups group virtual disks and support VM-attached or iSCSI/block use cases.
NCA610-STO-016,4.2,Disk Types,Easy,NEW_PRACTICE_QUESTION,Which disk technology generally provides lower latency than SATA SSD by using PCIe/NVMe?,NVMe SSD,NVMe SSDs use PCIe/NVMe and typically provide lower latency and higher performance.
NCA610-STO-017,4.3,Compression,Easy,NEW_PRACTICE_QUESTION,What is the purpose of compression in a storage container?,Reduce physical capacity consumed by data,Compression reduces the space used by compressible data.
NCA610-STO-018,4.3,Deduplication,Easy,NEW_PRACTICE_QUESTION,What does deduplication reduce?,Duplicate data blocks,Deduplication identifies duplicate blocks and stores fewer redundant copies when suitable.
NCA610-STO-019,4.3,Erasure Coding,Medium,NEW_PRACTICE_QUESTION,Which workload type is usually a better candidate for erasure coding?,Archive or mostly cold data,Erasure coding can save capacity for colder or mostly sequential data but is not ideal for heavy writes/overwrites.
NCA610-STO-020,4.3,Data Locality,Medium,NEW_PRACTICE_QUESTION,What is the goal of data locality?,Keep frequently accessed VM data close to the host running the VM,Data locality improves performance by serving VM data locally when possible.
NCA610-HYP-001,4.4,Supported Hypervisors,Easy,NEW_PRACTICE_QUESTION,Which hypervisor is native to Nutanix Cloud Platform?,AHV,AHV is Nutanix native virtualization.
NCA610-HYP-002,4.4,Hypervisor Mixing,Medium,NEW_PRACTICE_QUESTION,Why should administrators understand hypervisor mixing restrictions?,Feature support and operational behavior can differ by hypervisor,"Supported features and restrictions can vary by hypervisor, so compatibility must be validated."
NCA610-NC2-001,4.4,NC2,Easy,NEW_PRACTICE_QUESTION,What is Nutanix Cloud Clusters (NC2) used for?,Running Nutanix clusters in supported public cloud environments,NC2 extends Nutanix cluster operations into supported public cloud environments.
NCA610-NET-003,4.5,OVS,Easy,NEW_PRACTICE_QUESTION,What is Open vSwitch (OVS) in AHV networking?,A software virtual switch used by AHV,"OVS provides virtual switching between VMs, CVMs, hosts, and physical uplinks."
NCA610-NET-004,4.5,Bond Types,Easy,NEW_PRACTICE_QUESTION,Which AHV bond mode uses one active link and a standby link for failover?,Active-backup,Active-backup uses one active uplink and fails over to another when needed.
NCA610-NET-005,4.5,LACP,Medium,NEW_PRACTICE_QUESTION,Which bond mode requires proper LACP configuration on the physical switches?,Balance-TCP with LACP,LACP requires dynamic link aggregation configured consistently on AHV and upstream switches.
NCA610-NET-006,4.5,Managed Networks,Easy,NEW_PRACTICE_QUESTION,What makes an AHV network a managed network?,IPAM is enabled,Managed networks have IPAM enabled so addresses can be assigned from configured pools.
NCA610-NET-007,4.5,Unmanaged Networks,Easy,NEW_PRACTICE_QUESTION,How are IP addresses assigned in an unmanaged AHV network?,By guest configuration or external DHCP,Unmanaged networks do not use AHV IPAM; IP addresses come from external DHCP or manual guest settings.
NCA610-NET-008,4.5,Network Visualizer,Easy,NEW_PRACTICE_QUESTION,Which Prism Element feature provides a graphical topology view of AHV networking?,Network Visualizer,"Network Visualizer shows AHV network topology, VMs, hosts, virtual switches, and connections."
NCA610-DP-003,4.6,RPO,Easy,NEW_PRACTICE_QUESTION,What does RPO define?,Maximum acceptable data loss,Recovery Point Objective defines the maximum acceptable amount of data loss after a failure.
NCA610-DP-004,4.6,RTO,Easy,NEW_PRACTICE_QUESTION,What does RTO define?,Maximum acceptable time to restore service,Recovery Time Objective defines how long a service can be down before recovery must be complete.
NCA610-DP-005,4.6,Protection Domain,Medium,NEW_PRACTICE_QUESTION,Which Prism Element construct groups VMs or volume groups for snapshot and replication schedules?,Protection Domain,Protection Domains in Prism Element group protected entities and schedules for async/NearSync workflows.
NCA610-DP-006,4.6,Protection Policy,Medium,NEW_PRACTICE_QUESTION,Which Prism Central construct is used in modern Nutanix Disaster Recovery to protect workloads?,Protection Policy,Prism Central Disaster Recovery uses protection policies and recovery plans rather than classic Prism Element protection domains.
NCA610-DP-007,4.6,NearSync,Medium,NEW_PRACTICE_QUESTION,Which RPO range is associated with NearSync?,1 to 15 minutes,NearSync targets RPOs from 1 to 15 minutes using lightweight snapshots.
NCA610-DP-008,4.6,Asynchronous DR,Easy,NEW_PRACTICE_QUESTION,Which RPO range is associated with asynchronous replication in the study material?,60 minutes or more,Asynchronous replication is used for RPOs of one hour or greater.
NCA610-DP-009,4.6,Metro Availability,Medium,NEW_PRACTICE_QUESTION,What is Metro Availability designed to provide?,Synchronous replication between supported sites/containers,"Metro Availability provides synchronous replication for supported configurations, often at the storage container/datastore level."
NCA610-DP-010,4.6,Recovery Plan,Medium,NEW_PRACTICE_QUESTION,What is a recovery plan used for?,Orchestrating recovery of protected VMs in a defined order,"Recovery plans orchestrate VM recovery steps such as boot order, delays, and network mappings."
NCA610-IMG-003,2.1,Image Service,Easy,NEW_PRACTICE_QUESTION,What is the purpose of Image Service?,Store and manage images used to create or install VMs,Image Service manages ISO and disk images used during VM creation and deployment.
NCA610-IMG-004,2.1,ISO vs Disk Image,Easy,NEW_PRACTICE_QUESTION,Which image type is most commonly mounted as a virtual CD-ROM to install an operating system?,ISO image,An ISO image is commonly used as virtual installation media.
NCA610-IMG-005,2.1,Checksum,Easy,NEW_PRACTICE_QUESTION,Why is a checksum useful when uploading an image?,To validate file integrity,A checksum validates that the uploaded file matches the expected content and was not corrupted.
NCA610-IMG-006,2.1,Prism Central Image Scope,Medium,NEW_PRACTICE_QUESTION,Why upload images to Prism Central instead of only Prism Element?,To centrally manage images across one or more clusters,Prism Central provides centralized image management and placement across registered clusters.
NCA610-PRI-002,2.1,Prism Element vs Central,Easy,NEW_PRACTICE_QUESTION,What is the primary difference between Prism Element and Prism Central?,Prism Element manages one cluster; Prism Central can manage one or more clusters,Prism Element is cluster-local. Prism Central provides centralized management across clusters and additional services.
NCA610-PRI-003,2.1,Prism Central Login,Easy,NEW_PRACTICE_QUESTION,Which address is used to log in directly to Prism Central?,The Prism Central VM IP or FQDN,Prism Central is a separate VM or scale-out deployment and is accessed through its own IP/FQDN.
NCA610-HCI-001,4.6,HCI Basics,Easy,NEW_PRACTICE_QUESTION,What is a core advantage of hyperconverged infrastructure over traditional three-tier infrastructure?,Integrated compute and storage with simpler scaling,"HCI integrates compute, storage, and management into a distributed platform that can scale by adding nodes."
NCA610-HCI-002,4.6,AOS Storage,Easy,NEW_PRACTICE_QUESTION,What is AOS Storage?,Nutanix distributed storage presented as a logical storage platform,AOS Storage aggregates physical disks across nodes and provides distributed storage services.
NCA610-HCI-003,4.6,CVM,Easy,NEW_PRACTICE_QUESTION,What is the role of a Controller VM (CVM)?,Run Nutanix services for storage and cluster operations on each node,Each node runs a CVM that participates in distributed storage and cluster services.
NCA610-SUP-004,3.3,Support Case Creation,Easy,NEW_PRACTICE_QUESTION,Where can support cases be created or reviewed?,Nutanix Support & Insights Portal,"Support cases are handled through the Nutanix Support & Insights Portal, and in some cases can be initiated from Prism Central."
NCA610-MON-002,3.1,Reports,Easy,NEW_PRACTICE_QUESTION,Which Prism Central dashboard is used to create historical reports?,Reports Dashboard,"The Reports Dashboard creates, schedules, exports, and manages historical reports."
NCA610-MON-003,3.1,Alerts vs Audits,Medium,NEW_PRACTICE_QUESTION,What are audit records primarily used for?,Tracing user or system actions,Audits provide traceability of actions taken by users or systems.
NCA610-MON-004,3.1,Export Charts,Easy,NEW_PRACTICE_QUESTION,Which formats can chart data commonly be exported to from Analysis?,CSV or JSON,Analysis charts can export data such as CSV or JSON for investigation.
NCA610-LCM-009,1.2,LCM Non-reversible,Medium,NEW_PRACTICE_QUESTION,What important planning point applies to LCM updates?,"LCM updates are not generally reversible, so prechecks and maintenance planning matter","Because LCM updates are not designed as simple rollback operations, health validation and planning are important."
NCA610-LCM-010,1.2,Node-by-node Upgrade,Easy,NEW_PRACTICE_QUESTION,How does LCM typically apply updates across cluster nodes?,One node at a time while maintaining availability requirements,LCM updates nodes in a controlled sequence and waits for resiliency before proceeding as needed.
NCA610-NET-009,4.5,Tap Port,Easy,NEW_PRACTICE_QUESTION,"In AHV networking, what does a tap port connect?",A VM vNIC to the OVS bridge,A tap port connects the virtual NIC of a VM to the OVS switching layer.
NCA610-STO-021,4.3,Tiering,Easy,NEW_PRACTICE_QUESTION,What does intelligent tiering do?,Moves data between tiers based on access patterns,Intelligent tiering places hot data on faster media and colder data on capacity tiers when appropriate.
NCA610-STO-022,4.3,Flash Mode,Medium,NEW_PRACTICE_QUESTION,What is the effect of enabling Flash Mode?,It sets the storage tier preference to SSD/flash,Flash Mode biases selected data toward flash/SSD resources for performance.
NCA610-ADM-006,2.2,Recycle Bin,Easy,NEW_PRACTICE_QUESTION,"Assuming sufficient capacity, how long does the Nutanix Recycle Bin commonly retain deleted vDisk and configuration data files?",24 hours,The Recycle Bin commonly retains deleted vDisk/configuration data for 24 hours when capacity allows.
NCA610-DP-011,4.6,Network Mapping,Medium,NEW_PRACTICE_QUESTION,Why are network mappings important in disaster recovery?,They define which recovery networks VMs connect to during failover/failback,Network mappings ensure protected VMs attach to the correct networks at the recovery site.
NCA610-DP-012,4.6,Availability Zones,Medium,NEW_PRACTICE_QUESTION,Which component is used to pair sites in Prism Central disaster recovery workflows?,Availability Zones,Prism Central DR uses Availability Zones to represent paired sites or recovery locations.
NCA610-SEC-001,2.2,Authentication vs Authorization,Easy,NEW_PRACTICE_QUESTION,What is the difference between authentication and authorization?,Authentication verifies identity; authorization defines allowed actions,Authentication answers who the user is; authorization answers what the user can do.
NCA610-SEC-002,2.2,Cluster Lockdown,Medium,NEW_PRACTICE_QUESTION,What does cluster lockdown primarily affect?,SSH access to CVMs/AHV by enforcing key-based access,Cluster lockdown hardens SSH access by limiting password-based access and using keys.
NCA610-LIC-004,2.3,CSF and LSF,Medium,NEW_PRACTICE_QUESTION,"In manual licensing, what is the Cluster Summary File (CSF) used for?",It is uploaded to the Support Portal to generate licensing information,The CSF represents cluster details used by the licensing portal to generate license summary data.
NCA610-LIC-005,2.3,License Inventory,Easy,NEW_PRACTICE_QUESTION,Which system shows purchased license inventory and license conversion information?,Nutanix Support & Insights Portal,The Support & Insights Portal provides license inventory and related licensing information.
NCA610-MON-005,3.2,Email Duplicates,Medium,NEW_PRACTICE_QUESTION,Why should administrators be careful when enabling alert emails in both Prism Central and Prism Element?,The same alert may generate duplicate emails,"If both PC and PE send alerts to the same recipients, duplicate notifications can occur."
NCA610-MON-006,3.1,Health Colors,Easy,NEW_PRACTICE_QUESTION,"In Prism health views, what does a red state generally indicate?",Failed or critical condition,Red usually represents failed/critical health conditions that need investigation.
NCA610-SUP-005,3.3,Log Bundle,Easy,NEW_PRACTICE_QUESTION,Why would Nutanix Support request a log bundle?,"To analyze cluster state, errors, and diagnostics",Log bundles contain diagnostics used by support engineers to investigate issues.
NCA610-HCI-004,4.6,Nutanix Move,Easy,NEW_PRACTICE_QUESTION,What is Nutanix Move primarily used for?,Migrating workloads between supported environments,Nutanix Move helps migrate workloads from supported source environments to Nutanix or cloud targets.
NCA610-HCI-005,4.6,Flow Virtual Networking,Medium,NEW_PRACTICE_QUESTION,Which capability is associated with Flow Virtual Networking?,Advanced virtual networking constructs such as VPC-style networking,Flow Virtual Networking provides advanced software-defined networking capabilities in Nutanix environments.
NCA610-STO-023,4.2,Default Containers,Medium,NEW_PRACTICE_QUESTION,Which default container is generally intended for regular VM storage when no special requirement exists?,Default-container,Default-container is the general-purpose default container; management shares should not be used for regular VM vDisks.
NCA610-STO-024,4.3,Dedup Requirement,Medium,NEW_PRACTICE_QUESTION,What must typically be enabled before capacity deduplication can be enabled?,Cache deduplication,Capacity deduplication commonly depends on cache deduplication being enabled first.
NCA610-IMG-007,2.1,Image Formats,Easy,NEW_PRACTICE_QUESTION,Which of the following is a supported image format in Nutanix Image Service?,QCOW2,"Image Service supports common VM/image formats such as RAW, VHD/VHDX, VMDK, VDI, OVA, ISO, and QCOW2."
NCA610-VM-009,2.1,Power Operations,Easy,NEW_PRACTICE_QUESTION,Which VM task is considered a basic VM management operation?,Power on or power off a VM,"Basic VM operations include power on/off, console access, updating resources, cloning, snapshots, and migration."
NCA610-VM-010,2.1,Categories,Easy,NEW_PRACTICE_QUESTION,What are Prism Central categories used for?,Tagging entities with key-value pairs for organization and policies,"Categories are key-value metadata used for filtering, organization, and policy targeting."
NCA610-DP-013,4.6,Crash vs App Consistent,Medium,NEW_PRACTICE_QUESTION,What is the main benefit of application-consistent recovery points?,They coordinate with applications to flush pending data before capture,Application-consistent points improve recoverability for transactional applications by coordinating application state.
NCA610-NET-010,4.5,Balance-SLB,Medium,NEW_PRACTICE_QUESTION,Which AHV bond mode distributes VM traffic across uplinks by source load/MAC pinning without requiring LACP?,Balance-SLB,"Balance-SLB can distribute VM traffic across physical adapters without LACP, using source load balancing/MAC pinning."
NCA610-LCM-011,1.1,LCM Framework,Medium,NEW_PRACTICE_QUESTION,What is the role of the LCM framework?,It validates/downloads lifecycle metadata and coordinates LCM modules,"The LCM framework coordinates lifecycle modules, metadata, checksums, downloads, inventory, and update planning."
NCA610-HEA-008,3.1,Resiliency First,Medium,NEW_PRACTICE_QUESTION,Which item should be checked before maintenance or upgrades to understand failure tolerance?,Data Resiliency Status,Data Resiliency Status indicates whether the cluster has enough resiliency to tolerate failures during operations.
